asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
PL-0101,  Steel  distribution   pole near Market  ,Pole,20.296059 N,85.824539 E,45.2,2026-09-01,R. Sharma,active,8,"{""height_m"": 11.5, ""material"": ""steel""}"
TR-0201,33kV Step-Down Transformer Saheed Nagar,transformer,20.298120 N,85.831200 E,48.0,2026-09-01,Ramesh Sharma,active,9,"{""rating_kva"": 500, ""cooling"": ""oil""}"
VL-0301,Main Cooling Water Valve Unit 1,valve,20.291000,85.829000,42.5,2026-09-01,A. Patel,active,7,"{""bore_mm"": 150, ""type"": ""gate""}"
MH-0401,UG Cable Chamber CC-12,manhole,20.294500 N,85.827100 E,,2026-09-01,Amit Patel,active,6,"{""depth_m"": 2.5, ""cover_type"": ""cast_iron""}"
PL-0102,Concrete Pole Line 4,pole,20.297000,85.825000,44.0,2026-09-01,S. Mishra,active,5,"{""height_m"": 9.0, ""material"": ""concrete""}"
TR-0202,Substation Transformer 2,TRANSFORMER,20.301000 N,85.834000 E,50.1,2026-09-01,Sanjay Mishra,active,4,"{""rating_kva"": 1000, ""cooling"": ""oil""}"
VL-0302,Emergency Isolation Valve,valve,20.289500 N,85.826000 E,41.0,2026-09-01,R Sharma,active,3,"{""bore_mm"": 200, ""type"": ""butterfly""}"
MH-0402,Cable Splice Chamber 4,manhole,20.293000,85.824000,43.2,2026-09-01,Amit P,decommissioned,1,"{""depth_m"": 1.8, ""cover_type"": ""concrete""}"
PL-0103,Wooden Utility Pole Old Sector,pole,20.295500 N,85.823500 E,,2026-09-01,Ramesh S,decommissioned,2,"{""height_m"": 8.0, ""material"": ""wood""}"
TR-0203,Distribution Transformer Bapuji Nagar,transformer,20.299500 N,85.832500 E,47.5,2026-09-01,A Patel,active,2,"{""rating_kva"": 250, ""cooling"": ""air""}"
PL-0104,Street Light Joint Pole,pole,20.296500 N,85.826500 E,45.0,2026-09-02,S Mishra,active,9,"{""height_m"": 10.0, ""material"": ""steel""}"
TR-0204,Auxiliary Transformer Unit 4,transformer,20.302500 N,85.835500 E,51.0,2026-09-02,Sanjay M,active,8,"{""rating_kva"": 750, ""cooling"": ""oil""}"
VL-0303,Pressure Relief Valve PRV-2,valve,20.288000,85.825500,40.5,2026-09-02,R. Sharma,active,6,"{""bore_mm"": 100, ""type"": ""ball""}"
MH-0403,Fiber Optic & UG Cable Pit,manhole,20.292000 N,85.822000 E,42.0,2026-09-02,Amit Patel,active,7,"{""depth_m"": 2.0, ""cover_type"": ""cast_iron""}"
PL-0105,Terminal Distribution Pole,pole,20.298000 N,85.828000 E,,2026-09-02,Ramesh Sharma,proposed,8,"{""height_m"": 12.0, ""material"": ""steel""}"
TR-0205,Pole Mounted Transformer Unit,transformer,20.300500,85.833000,49.0,2026-09-02,A. Patel,active,5,"{""rating_kva"": 100, ""cooling"": ""oil""}"
VL-0304,Sectional Valve SV-09,valve,20.287000 N,85.824000 E,39.5,2026-09-02,S. Mishra,active,4,"{""bore_mm"": 150, ""type"": ""gate""}"
MH-0404,Feeder Crossing Chamber,manhole,20.291500 N,85.821500 E,41.5,2026-09-02,Sanjay Mishra,active,8,"{""depth_m"": 3.0, ""cover_type"": ""steel_plate""}"
PL-0106,HT Line Intermediate Pole,pole,20.297500 N,85.827000 E,46.0,2026-09-02,R. Sharma,active,7,"{""height_m"": 11.0, ""material"": ""concrete""}"
TR-0206,Commercial Complex Transformer,transformer,20.301500 N,85.834500 E,50.5,2026-09-02,Amit Patel,active,6,"{""rating_kva"": 630, ""cooling"": ""oil""}"
PL-0107,Alleyway Distribution Pole,pole,20.295000,85.824000,44.5,2026-09-03,Ramesh Sharma,active,8,"{""height_m"": 9.5, ""material"": ""steel""}"
TR-0207,Hospital Feeder Transformer,transformer,20.303000 N,85.836000 E,52.0,2026-09-03,A. Patel,active,10,"{""rating_kva"": 1500, ""cooling"": ""oil""}"
VL-0305,Bypass Valve Unit 3,valve,20.286500 N,85.823500 E,39.0,2026-09-03,S. Mishra,active,7,"{""bore_mm"": 125, ""type"": ""gate""}"
MH-0405,Substation Entry Manhole,manhole,20.290500 N,85.820500 E,,2026-09-03,Sanjay Mishra,active,9,"{""depth_m"": 3.2, ""cover_type"": ""cast_iron""}"
PL-0108,Corner Support Pole,pole,20.298500 N,85.829000 E,47.0,2026-09-03,R. Sharma,active,6,"{""height_m"": 10.5, ""material"": ""concrete""}"
TR-0208,Industrial Estate Transformer,transformer,20.304000 N,85.837000 E,53.0,2026-09-03,Amit Patel,active,3,"{""rating_kva"": 2000, ""cooling"": ""oil""}"
VL-0306,Drain Valve DV-1,valve,20.285500,85.822500,38.5,2026-09-03,Ramesh Sharma,active,5,"{""bore_mm"": 80, ""type"": ""globe""}"
MH-0406,Underground Duct Manhole 6,manhole,20.289500 N,85.819500 E,40.0,2026-09-03,A. Patel,active,6,"{""depth_m"": 2.2, ""cover_type"": ""concrete""}"
PL-0109,Dead-End Guyed Pole,pole,20.299000 N,85.829500 E,47.5,2026-09-03,S. Mishra,active,7,"{""height_m"": 12.0, ""material"": ""steel""}"
TR-0209,Residential Colony Transformer,transformer,20.305000 N,85.838000 E,54.0,2026-09-03,Sanjay Mishra,active,8,"{""rating_kva"": 400, ""cooling"": ""oil""}"
PL-0110,Overhead Junction Pole 10,pole,20.294000 N,85.823000 E,43.5,2026-09-04,R. Sharma,active,5,"{""height_m"": 10.0, ""material"": ""steel""}"
TR-0210,Distribution Transformer 10,transformer,20.306000 N,85.839000 E,55.0,2026-09-04,Amit Patel,active,9,"{""rating_kva"": 500, ""cooling"": ""oil""}"
VL-0307,Distribution Valve DV-7,valve,20.284500 N,85.821500 E,38.0,2026-09-04,Ramesh Sharma,active,6,"{""bore_mm"": 150, ""type"": ""gate""}"
MH-0407,Junction Manhole JM-7,manhole,20.288500 N,85.818500 E,39.5,2026-09-04,A. Patel,active,7,"{""depth_m"": 2.4, ""cover_type"": ""cast_iron""}"
PL-0111,Tubular Steel Pole Line 6,pole,20.293500 N,85.822500 E,43.0,2026-09-04,S. Mishra,active,8,"{""height_m"": 11.0, ""material"": ""steel""}"
TR-0211,Shopping Mall Transformer,transformer,20.307000 N,85.840000 E,56.0,2026-09-04,Sanjay Mishra,active,7,"{""rating_kva"": 1000, ""cooling"": ""oil""}"
VL-0308,Flow Regulation Valve FRV-8,valve,20.283500 N,85.820500 E,37.5,2026-09-04,R. Sharma,active,8,"{""bore_mm"": 100, ""type"": ""ball""}"
MH-0408,Service Connection Pit SP-8,manhole,20.287500 N,85.817500 E,39.0,2026-09-04,Amit Patel,active,5,"{""depth_m"": 1.9, ""cover_type"": ""concrete""}"
PL-0112,Service Drop Pole 12,pole,20.292500 N,85.821000 E,42.0,2026-09-04,Ramesh Sharma,active,6,"{""height_m"": 9.0, ""material"": ""concrete""}"
TR-0212,Parkside Distribution Transformer,transformer,20.308000 N,85.841000 E,57.0,2026-09-04,A. Patel,active,4,"{""rating_kva"": 315, ""cooling"": ""oil""}"
PL-0113,Transformer Support H-Frame,pole,20.291500 N,85.820000 E,41.0,2026-09-05,S. Mishra,active,9,"{""height_m"": 12.0, ""material"": ""steel""}"
TR-0213,Railway Colony Transformer,transformer,20.309000 N,85.842000 E,58.0,2026-09-05,Sanjay Mishra,active,8,"{""rating_kva"": 500, ""cooling"": ""oil""}"
VL-0309,Air Release Valve ARV-9,valve,20.282500 N,85.819500 E,37.0,2026-09-05,R. Sharma,active,7,"{""bore_mm"": 50, ""type"": ""ball""}"
MH-0409,Primary Feeder Vault PV-9,manhole,20.286500 N,85.816500 E,38.5,2026-09-05,Amit Patel,active,6,"{""depth_m"": 3.5, ""cover_type"": ""steel_plate""}"
PL-0114,Road Crossing High Mast,pole,20.290500 N,85.819000 E,40.5,2026-09-05,Ramesh Sharma,active,8,"{""height_m"": 15.0, ""material"": ""steel""}"
TR-0214,Office Complex Transformer,transformer,20.310000 N,85.843000 E,59.0,2026-09-05,A. Patel,active,5,"{""rating_kva"": 800, ""cooling"": ""oil""}"
VL-0310,Check Valve CV-10,valve,20.281500 N,85.818500 E,36.5,2026-09-05,S. Mishra,active,6,"{""bore_mm"": 150, ""type"": ""swing""}"
MH-0410,Corner Turning Manhole CT-10,manhole,20.285500 N,85.815500 E,38.0,2026-09-05,Sanjay Mishra,active,7,"{""depth_m"": 2.6, ""cover_type"": ""cast_iron""}"
PL-0115,Distribution Pole DP-15,pole,20.289500 N,85.818000 E,40.0,2026-09-05,R. Sharma,active,8,"{""height_m"": 10.0, ""material"": ""concrete""}"
TR-0215,Green Park Transformer Unit,transformer,20.311000 N,85.844000 E,60.0,2026-09-05,Amit Patel,active,9,"{""rating_kva"": 500, ""cooling"": ""oil""}"
