asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
PL-0501,Jayadev Vihar Feeder Pole 1,pole,20.2985,85.8180,44.5,2026-09-01,Bijay Kumar Kar,active,8,"{""height_m"": 11.0, ""material"": ""steel""}"
TR-0601,Saheed Nagar Distribution Transformer 1,transformer,20.2920,85.8340,47.0,2026-09-01,Saroj Kumar Lenka,active,9,"{""rating_kva"": 500, ""cooling"": ""oil""}"
VL-0701,Rasulgarh Main Water Valve 1,valve,20.2860,85.8450,41.2,2026-09-01,Debashree Patnaik,active,7,"{""bore_mm"": 150, ""type"": ""gate""}"
MH-0801,Master Canteen UG Chamber 1,manhole,20.2710,85.8410,43.0,2026-09-01,Gouranga Charan Rout,active,6,"{""depth_m"": 2.5, ""cover_type"": ""cast_iron""}"
PL-0502,Patia Station Road Support Pole 2,pole,20.3540,85.8190,46.0,2026-09-02,Rashmi Rekha Das,active,9,"{""height_m"": 10.0, ""material"": ""concrete""}"
TR-0602,Chandrasekharpur Step-Down Transformer 2,transformer,20.3220,85.8120,49.5,2026-09-02,Jitendra Kumar Biswal,active,8,"{""rating_kva"": 750, ""cooling"": ""oil""}"
VL-0702,Khandagiri Emergency Isolation Valve 2,valve,20.2580,85.7890,39.0,2026-09-02,Namita Pradhan,active,7,"{""bore_mm"": 200, ""type"": ""butterfly""}"
MH-0802,Bapuji Nagar Cable Splice Pit 2,manhole,20.2810,85.8290,42.0,2026-09-02,Sushil Kumar Baral,active,6,"{""depth_m"": 2.0, ""cover_type"": ""concrete""}"
PL-0503,Old Town Heritage Sector Pole 3,pole,20.2430,85.8320,38.5,2026-09-03,Pradipta Kumar Mahapatra,active,5,"{""height_m"": 9.0, ""material"": ""steel""}"
TR-0603,Nayapalli Commercial Transformer 3,transformer,20.2970,85.8080,46.5,2026-09-03,Manaswini Jena,active,9,"{""rating_kva"": 630, ""cooling"": ""oil""}"
VL-0703,Baramunda Bus Stand Supply Valve 3,valve,20.2780,85.7950,40.0,2026-09-03,Hemanta Kumar Samal,active,6,"{""bore_mm"": 100, ""type"": ""ball""}"
MH-0803,Unit 9 Underground Duct Manhole 3,manhole,20.2910,85.8420,44.0,2026-09-03,Padmini Behera,active,7,"{""depth_m"": 2.8, ""cover_type"": ""cast_iron""}"
PL-0504,KIIT Square High Mast Pole 4,pole,20.3580,85.8160,48.0,2026-09-04,Biswa Ranjan Acharya,active,8,"{""height_m"": 15.0, ""material"": ""steel""}"
TR-0604,Infocity Tech Park Transformer 4,transformer,20.3590,85.8050,52.0,2026-09-04,Rojalin Mohanty,active,10,"{""rating_kva"": 1500, ""cooling"": ""oil""}"
VL-0704,Vani Vihar Pressure Relief Valve 4,valve,20.3010,85.8390,42.5,2026-09-04,Kartik Chandra Nayak,active,8,"{""bore_mm"": 125, ""type"": ""gate""}"
MH-0804,Satya Nagar Telecom Chamber 4,manhole,20.2880,85.8450,43.5,2026-09-04,Satyabrata Swain,active,7,"{""depth_m"": 2.2, ""cover_type"": ""cast_iron""}"
PL-0505,Kalpana Square Junction Pole 5,pole,20.2620,85.8420,41.0,2026-09-05,Ananya Priyadarshini,active,7,"{""height_m"": 10.5, ""material"": ""concrete""}"
TR-0605,Ashok Nagar Feeder Transformer 5,transformer,20.2760,85.8360,45.0,2026-09-05,Krushna Chandra Sethi,active,8,"{""rating_kva"": 400, ""cooling"": ""oil""}"
VL-0705,Airport Road Flow Regulation Valve 5,valve,20.2540,85.8160,40.5,2026-09-05,Madhusudan Behera,active,6,"{""bore_mm"": 80, ""type"": ""globe""}"
MH-0805,Forest Park Drainage Manhole 5,manhole,20.2650,85.8270,41.5,2026-09-05,Chinmay Kumar Panda,active,7,"{""depth_m"": 2.4, ""cover_type"": ""concrete""}"
PL-0506,Laxmisagar Intermediate Pole 6,pole,20.2730,85.8570,42.0,2026-09-06,Sujata Mohapatra,active,8,"{""height_m"": 11.0, ""material"": ""steel""}"
TR-0606,Mancheswar Industrial Transformer 6,transformer,20.3260,85.8520,53.0,2026-09-06,Ganeswar Pradhan,active,9,"{""rating_kva"": 2000, ""cooling"": ""oil""}"
VL-0706,Palasuni Sectional Valve 6,valve,20.2990,85.8640,43.0,2026-09-06,Bishnu Prasad Jena,active,7,"{""bore_mm"": 150, ""type"": ""gate""}"
MH-0806,Jharpada Substation Chamber 6,manhole,20.2820,85.8610,44.5,2026-09-06,Bijay Kumar Kar,active,8,"{""depth_m"": 3.0, ""cover_type"": ""steel_plate""}"
PL-0507,Pokhariput Main Road Pole 7,pole,20.2480,85.8010,40.0,2026-09-07,Saroj Kumar Lenka,active,6,"{""height_m"": 9.5, ""material"": ""concrete""}"
TR-0607,Jagannath Nagar Transformer 7,transformer,20.3120,85.8670,48.5,2026-09-07,Debashree Patnaik,active,8,"{""rating_kva"": 315, ""cooling"": ""oil""}"
VL-0707,Bhubaneswar Station Water Valve 7,valve,20.2690,85.8430,42.0,2026-09-07,Gouranga Charan Rout,active,8,"{""bore_mm"": 100, ""type"": ""ball""}"
MH-0807,Surya Nagar Underground Vault 7,manhole,20.2720,85.8230,41.0,2026-09-07,Rashmi Rekha Das,active,6,"{""depth_m"": 2.6, ""cover_type"": ""cast_iron""}"
PL-0508,Acharya Vihar Overpass Pole 8,pole,20.3020,85.8270,47.0,2026-09-08,Jitendra Kumar Biswal,active,9,"{""height_m"": 12.0, ""material"": ""steel""}"
TR-0608,Dumuduma Housing Board Transformer 8,transformer,20.2420,85.7820,44.0,2026-09-08,Namita Pradhan,active,7,"{""rating_kva"": 500, ""cooling"": ""oil""}"
VL-0708,Kalinga Nagar Distribution Valve 8,valve,20.2310,85.7650,38.0,2026-09-08,Sushil Kumar Baral,active,6,"{""bore_mm"": 125, ""type"": ""gate""}"
MH-0808,Aiginia Crossing Chamber 8,manhole,20.2550,85.7760,39.5,2026-09-08,Pradipta Kumar Mahapatra,active,7,"{""depth_m"": 2.7, ""cover_type"": ""concrete""}"
PL-0509,Sundarpada Junction Support Pole 9,pole,20.2290,85.8170,37.0,2026-09-09,Manaswini Jena,active,7,"{""height_m"": 10.0, ""material"": ""concrete""}"
TR-0609,Tamando Market Transformer 9,transformer,20.2380,85.7510,43.5,2026-09-09,Hemanta Kumar Samal,active,8,"{""rating_kva"": 400, ""cooling"": ""oil""}"
VL-0709,Ghatikia Water Supply Valve 9,valve,20.2610,85.7690,42.0,2026-09-09,Padmini Behera,active,7,"{""bore_mm"": 100, ""type"": ""butterfly""}"
MH-0809,Khandagiri Square Inspection Pit 9,manhole,20.2600,85.7840,41.0,2026-09-09,Biswa Ranjan Acharya,active,8,"{""depth_m"": 2.3, ""cover_type"": ""cast_iron""}"
PL-0510,Sailashree Vihar Avenue Pole 10,pole,20.3340,85.8150,51.0,2026-09-10,Rojalin Mohanty,active,9,"{""height_m"": 11.5, ""material"": ""steel""}"
TR-0610,Niladri Vihar Residential Transformer 10,transformer,20.3390,85.8230,50.0,2026-09-10,Kartik Chandra Nayak,active,9,"{""rating_kva"": 500, ""cooling"": ""oil""}"
VL-0710,Kalarahanga Main Feed Valve 10,valve,20.3640,85.8340,45.0,2026-09-10,Satyabrata Swain,active,8,"{""bore_mm"": 150, ""type"": ""gate""}"
MH-0810,Raghunathpur Cable Chamber 10,manhole,20.3720,85.8290,46.5,2026-09-10,Ananya Priyadarshini,active,7,"{""depth_m"": 2.9, ""cover_type"": ""steel_plate""}"
PL-0511,Nandankanan Road Intermediate Pole 11,pole,20.3780,85.8250,47.0,2026-09-11,Krushna Chandra Sethi,active,8,"{""height_m"": 10.0, ""material"": ""steel""}"
TR-0611,Patrapada Substation Transformer 11,transformer,20.2460,85.7680,42.5,2026-09-11,Madhusudan Behera,active,8,"{""rating_kva"": 1000, ""cooling"": ""oil""}"
VL-0711,Delta Square Water Valve 11,valve,20.2790,85.8070,41.0,2026-09-11,Chinmay Kumar Panda,active,6,"{""bore_mm"": 80, ""type"": ""globe""}"
MH-0811,Siripur Telecom Manhole 11,manhole,20.2690,85.8120,40.0,2026-09-11,Sujata Mohapatra,active,7,"{""depth_m"": 2.1, ""cover_type"": ""concrete""}"
PL-0512,Gopabandhu Nagar Utility Pole 12,pole,20.2760,85.8180,41.5,2026-09-12,Ganeswar Pradhan,active,7,"{""height_m"": 9.0, ""material"": ""concrete""}"
TR-0612,OUAT Campus Transformer 12,transformer,20.2660,85.8140,43.0,2026-09-12,Bishnu Prasad Jena,active,9,"{""rating_kva"": 630, ""cooling"": ""oil""}"
VL-0712,Bhubaneswar Club Main Valve 12,valve,20.2710,85.8280,42.5,2026-09-12,Bijay Kumar Kar,active,8,"{""bore_mm"": 100, ""type"": ""gate""}"
MH-0812,Capital Hospital Feeder Chamber 12,manhole,20.2680,85.8240,42.0,2026-09-12,Saroj Kumar Lenka,active,8,"{""depth_m"": 3.1, ""cover_type"": ""cast_iron""}"
PL-0513,Unit 4 MLA Colony Pole 13,pole,20.2790,85.8340,44.0,2026-09-13,Debashree Patnaik,active,8,"{""height_m"": 10.5, ""material"": ""steel""}"
TR-0613,Secretariat Auxiliary Transformer 13,transformer,20.2850,85.8310,46.0,2026-09-13,Gouranga Charan Rout,active,10,"{""rating_kva"": 1000, ""cooling"": ""oil""}"
VL-0713,Rabindra Mandap Fire Valve 13,valve,20.2830,85.8360,43.5,2026-09-13,Rashmi Rekha Das,active,9,"{""bore_mm"": 125, ""type"": ""butterfly""}"
MH-0813,AG Square Fiber Pit 13,manhole,20.2770,85.8310,43.0,2026-09-13,Jitendra Kumar Biswal,active,7,"{""depth_m"": 2.4, ""cover_type"": ""cast_iron""}"
PL-0514,Governor House Boundary Pole 14,pole,20.2830,85.8220,44.5,2026-09-14,Namita Pradhan,active,9,"{""height_m"": 11.0, ""material"": ""steel""}"
TR-0614,Raj Bhavan Distribution Transformer 14,transformer,20.2840,85.8190,45.0,2026-09-14,Sushil Kumar Baral,active,9,"{""rating_kva"": 750, ""cooling"": ""oil""}"
VL-0714,Power House Square Valve 14,valve,20.2920,85.8210,44.0,2026-09-14,Pradipta Kumar Mahapatra,active,7,"{""bore_mm"": 150, ""type"": ""gate""}"
MH-0814,Unit 8 UG Electrical Chamber 14,manhole,20.2860,85.8160,43.0,2026-09-14,Manaswini Jena,active,8,"{""depth_m"": 2.6, ""cover_type"": ""cast_iron""}"
PL-0515,Kharvela Nagar Street Pole 15,pole,20.2830,85.8430,44.0,2026-09-15,Hemanta Kumar Samal,active,8,"{""height_m"": 10.0, ""material"": ""concrete""}"
TR-0615,Janpath Shopping Complex Transformer 15,transformer,20.2890,85.8400,45.5,2026-09-15,Padmini Behera,active,9,"{""rating_kva"": 800, ""cooling"": ""oil""}"
VL-0715,Satya Nagar Garden Water Valve 15,valve,20.2930,85.8460,43.0,2026-09-15,Biswa Ranjan Acharya,active,8,"{""bore_mm"": 100, ""type"": ""ball""}"
MH-0815,Cuttack Road Turning Manhole 15,manhole,20.2800,85.8520,42.5,2026-09-15,Rojalin Mohanty,active,7,"{""depth_m"": 2.5, ""cover_type"": ""concrete""}"
